date,time_utc,player1,player2,surface,series,confidence,our_odds1,our_odds2,pin_odds1,pin_odds2,value_p1,value_p2,side,value_pct,policy_mode,overlay_n,overlay_roi_pct_shrunk,overlay_reason,recent_injured_p1,recent_injured_p2,recent_injured_any,recent_injured_p1_mode,recent_injured_p2_mode,threshold_tier,bet_type,spread_line,spread_odds,stake_units,stake_gbp,stake_model,signal_profile
2026-03-08,11:46:19,Valentin Vacherot,Casper Ruud,Hard,Masters 1000,high,2.27,1.79,2.43,1.617,7.05,-9.66,P1,7.05,base,,,,False,False,False,none,none,internal,,,,,,,
2026-03-08,11:46:19,Brandon Nakashima,Alexander Zverev,Hard,Masters 1000,high,3.14,1.47,3.68,1.329,17.2,-9.59,P1,17.2,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-08,11:46:19,Marton Fucsovics,Arthur Fils,Hard,Masters 1000,high,2.82,1.55,3.16,1.413,12.06,-8.84,P1,12.06,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-08,11:46:19,Ben Shelton,Learner Tien,Hard,Masters 1000,high,1.58,2.73,1.699,2.3,7.53,-15.75,P1,7.53,base,,,,False,False,False,none,none,internal,,,,,,,
2026-03-08,11:46:19,Joao Fonseca,Tommy Paul,Hard,Masters 1000,high,2.56,1.64,2.85,1.474,11.33,-10.12,P1,11.33,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,10:58:07,Alex Michelsen,Taylor Harry Fritz,Hard,Masters 1000,high,2.75,1.57,3.17,1.41,15.27,-10.19,P1,15.27,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,10:58:07,Daniil Medvedev,Sebastian Baez,Hard,Masters 1000,high,1.28,4.52,1.171,5.91,-8.52,30.75,P2,30.75,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,10:58:07,Valentin Vacherot,Casper Ruud,Hard,Masters 1000,high,1.77,2.31,2.41,1.641,36.16,-28.96,P1,36.16,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,11:07:22,Francisco Cerundolo,Jack Draper,Hard,Masters 1000,high,2.27,1.79,2.53,1.592,11.45,-11.06,P1,11.45,base,,,,True,False,True,soft_unique,none,public,,,,,,,
2026-03-09,11:07:22,Frances Tiafoe,Alexander Zverev,Hard,Masters 1000,high,2.87,1.54,3.5,1.345,21.95,-12.66,P1,21.95,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,11:07:22,Learner Tien,Alejandro Davidovich Fokina,Hard,Masters 1000,high,2.27,1.79,1.813,2.09,-20.13,16.76,P2,16.76,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,11:07:22,Alexander Bublik,Rinky Hijikata,Hard,Masters 1000,high,1.39,3.56,1.248,4.49,-10.22,26.12,P2,26.12,base,,,,False,False,False,none,none,public,,,,,,,
2026-03-09,17:04:04,Arthur Fils,Felix Auger Aliassime,Hard,Masters 1000,high,2.72,1.58,2.34,1.662,-13.97,5.19,P2,5.19,base,,,,False,False,False,none,none,internal,,,,,,,
2026-03-09,17:33:39,Frances Tiafoe,Alexander Zverev,Hard,Masters 1000,high,2.87,1.54,3.42,1.357,19.16,-11.88,P1,19.16,base,,,,False,False,False,none,none,public,match,,,,,,
2026-03-09,17:33:39,Francisco Cerundolo,Jack Draper,Hard,Masters 1000,high,2.27,1.79,2.58,1.571,13.66,-12.23,P1,13.66,base,,,,True,False,True,soft_unique,none,public,match,,,,,,
2026-03-09,17:33:39,Valentin Vacherot,Casper Ruud,Hard,Masters 1000,high,2.29,1.78,2.42,1.633,5.68,-8.26,P1,5.68,base,,,,False,False,False,none,none,internal,match,,,,,,
2026-03-09,17:33:39,Learner Tien,Alejandro Davidovich Fokina,Hard,Masters 1000,high,2.27,1.79,1.833,2.07,-19.25,15.64,P2,15.64,base,,,,False,False,False,none,none,public,match,,,,,,
2026-03-09,17:33:39,Arthur Fils,Felix Auger Aliassime,Hard,Masters 1000,high,2.72,1.58,2.34,1.662,-13.97,5.19,P2,5.19,base,,,,False,False,False,none,none,internal,match,,,,,,
2026-03-09,17:33:39,Alexander Bublik,Rinky Hijikata,Hard,Masters 1000,high,1.39,3.56,1.234,4.69,-11.22,31.74,P2,31.74,base,,,,False,False,False,none,none,public,match,,,,,,
2026-03-09,17:33:39,Alexander Bublik,Rinky Hijikata,Hard,Masters 1000,high,,,2.03,1.862,21.99,-25.69,P1+,21.99,base,,,,False,False,False,none,none,public,spread,4.5,2.03,,,,
2026-03-11,11:05:41,Daniil Medvedev,Alex Michelsen,Hard,Masters 1000,high,1.51,2.96,1.333,3.64,-11.72,22.97,P2,22.97,base,,,,False,False,False,none,none,public,match,,,,,,
2026-03-11,11:05:41,Daniil Medvedev,Alex Michelsen,Hard,Masters 1000,high,,,1.806,2.1,-39.99,40.23,P2-,40.23,base,,,,False,False,False,none,none,public,spread,-3.5,2.1,,,,
2026-03-11,11:05:41,Rinky Hijikata,Cameron Norrie,Hard,Masters 1000,high,2.87,1.53,3.46,1.36,20.56,-11.11,P1,20.56,base,,,,False,False,False,none,none,public,match,,,,,,
2026-03-11,11:05:41,Novak Djokovic,Jack Draper,Hard,Masters 1000,high,1.54,2.85,1.741,2.22,13.05,-22.11,P1,13.05,base,,,,False,False,False,none,none,public,match,,,,,,
2026-03-12,11:06:08,Arthur Fils,Alexander Zverev,Hard,Masters 1000,high,2.87,1.54,2.46,1.617,-14.29,5.0,P2,5.0,base,,,,False,False,False,none,none,internal,match,,,,,,
2026-03-12,11:06:08,Jack Draper,Daniil Medvedev,Hard,Masters 1000,high,2.38,1.72,2.59,1.556,8.82,-9.53,P1,8.82,base,,,,False,False,False,none,none,internal,match,,,,,,
