captured_at,match_date,event_id,kickoff_at,snapshot_kind,bookmaker,competition,home_team,away_team,team,market,line,side,odds_decimal,source,notes
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,Udinese Calcio,TEAM_SHOTS,13.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,AC Monza,TEAM_SHOTS,10.5,over,2.0000,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,AC Monza,TEAM_SHOTS,10.5,under,1.7270,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,AC Monza,TEAM_SHOTS,10.5,over,2.0000,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945220,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,AC Monza,Udinese Calcio,AC Monza,TEAM_SHOTS,10.5,under,1.7270,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Sassuolo Calcio,TEAM_SHOTS,13.5,over,1.8000,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Sassuolo Calcio,TEAM_SHOTS,13.5,under,1.9090,odds_api_io,market=Total Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Torino FC,TEAM_SHOTS,11.5,over,2.0000,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Torino FC,TEAM_SHOTS,11.5,under,1.7270,odds_api_io,market=Team Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Torino FC,TEAM_SHOTS,11.5,over,2.0000,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Torino FC,TEAM_SHOTS,11.5,under,1.7270,odds_api_io,market=Total Shots Away
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Sassuolo Calcio,TEAM_SHOTS,13.5,over,1.8000,odds_api_io,market=Team Shots Home
2026-08-27T19:44:06Z,2026-08-29,71945224,2026-08-29T16:30:00Z,live_capture,Bet365,Serie A,Sassuolo Calcio,Torino FC,Sassuolo Calcio,TEAM_SHOTS,13.5,under,1.9090,odds_api_io,market=Team Shots Home
